architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
adaptive_link,hotspot,stage4_4x4_p80_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5005,0.40600000,2030,1975,55,0,0,55,0.02709360,1957,1948,9,1948,27,35469,3923,62768,17.958987,31.781266,0.50344124,0.0314650777,0.39460539,1973,5.421266,30,5,10,15,3923,0,0.78381618,15,3.000000,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1975;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_hotspot_rate0p40_adaptive_l16_t3_always.csv
adaptive_link,burst,stage4_burst_rate2.0_dur500,/home/hj/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5000,0.20640000,1032,879,153,0,0,153,0.14825581,214,41,173,41,838,8523,601,9616,9.696246,10.939704,1.46256240,0.0914101498,0.17580000,879,28.052332,93,28,50,79,601,0,0.12020000,518,4.843931,3,11,0,0,0,44,42,28,31,19,5,2,1,1,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=879;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_burst_rate2.0_dur500_adaptive_l16_t3_always.csv
adaptive_link,locality,stage4_region4x4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,3,16,always,5000,5005,0.19760000,988,983,5,0,0,5,0.00506073,983,983,0,983,0,17694,1966,31456,18.000000,32.000000,0.50000000,0.0312500000,0.19640360,981,4.282808,9,4,5,7,1966,0,0.39280719,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=983;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_locality_region4x4_adaptive_l16_t3_always.csv
adaptive_link,uniform,stage4_rate0.80,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,4,16,always,5000,5055,0.80200000,4010,3678,332,0,0,332,0.08279302,2299,1845,454,1845,1833,53640,5052,80832,14.584013,21.977162,0.72802850,0.0455017815,0.72759644,3650,33.449157,282,23,98,152,5052,0,0.99940653,765,4.037445,4,5,0,0,0,0,437,17,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3678;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=4010;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p80_adaptive_l16_t4_always.csv
adaptive_link,hotspot,stage4_4x4_p80_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,4,16,always,5000,5005,0.40600000,2030,1972,58,0,0,58,0.02857143,1972,1972,0,1972,0,35496,3944,63104,18.000000,32.000000,0.50000000,0.0312500000,0.39400599,1970,5.532961,30,5,10,17,3944,0,0.78801199,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1972;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_hotspot_rate0p40_adaptive_l16_t4_always.csv
adaptive_link,burst,stage4_burst_rate2.0_dur500,/home/hj/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,4,16,always,5000,5000,0.20640000,1032,898,134,0,0,134,0.12984496,216,48,168,48,850,8424,600,9600,9.380846,10.690423,1.49666667,0.0935416667,0.17960000,898,25.956570,120,22,58,79,600,0,0.12000000,496,5.059524,4,10,0,0,0,0,69,49,30,14,4,1,1,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=898;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_burst_rate2.0_dur500_adaptive_l16_t4_always.csv
adaptive_link,locality,stage4_region4x4_rate0.20,/home/hj/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,4,16,always,5000,5005,0.19760000,988,983,5,0,0,5,0.00506073,983,983,0,983,0,17694,1966,31456,18.000000,32.000000,0.50000000,0.0312500000,0.19640360,981,4.282808,9,4,5,7,1966,0,0.39280719,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=983;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_locality_region4x4_adaptive_l16_t4_always.csv
adaptive_link,uniform,stage4_rate0.80,/home/hj/SCA_AER/traces/generated/stage2/uniform_stage4_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,6,16,always,5000,5078,0.80200000,4010,3376,634,0,0,634,0.15810474,2445,2260,185,2260,1116,49005,5075,81200,14.515699,24.052133,0.66522167,0.0415763547,0.66482867,3332,61.234597,550,40,190,287,5075,0,0.99940922,302,6.032432,6,7,0,0,0,0,0,0,179,6,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=3376;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=4010;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_uniform_rate0p80_adaptive_l16_t6_always.csv
adaptive_link,hotspot,stage4_4x4_p80_rate0.40,/home/hj/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,6,16,always,5000,5005,0.40600000,2030,1972,58,0,0,58,0.02857143,1972,1972,0,1972,0,35496,3944,63104,18.000000,32.000000,0.50000000,0.0312500000,0.39400599,1970,5.532961,30,5,10,17,3944,0,0.78801199,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1972;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_hotspot_rate0p40_adaptive_l16_t6_always.csv
adaptive_link,burst,stage4_burst_rate2.0_dur500,/home/hj/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,6,16,always,5000,5000,0.20640000,1032,845,187,0,0,187,0.18120155,271,160,111,160,685,7875,653,10448,9.319527,12.364497,1.29402757,0.0808767228,0.16900000,845,33.867456,163,27,88,115,653,0,0.13060000,266,6.171171,6,8,0,0,0,0,0,0,94,15,2,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=845;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4/stage4_burst_rate2.0_dur500_adaptive_l16_t6_always.csv
