architecture,traffic_type,traffic_variant,trace_file,seed,x_size,y_size,block_w,block_h,dense_threshold,link_width,link_ready_policy,injection_cycles,total_cycles,offered_events_per_cycle,generated_events,delivered_events,capture_loss,transport_loss,undrained_events,total_loss,event_loss_rate,logical_packets,sparse_packets,dense_packets,events_in_sparse_packets,events_in_dense_packets,logical_bits,physical_link_beats,physical_bits,logical_bits_per_event,physical_bits_per_event,events_per_physical_beat,events_per_physical_bit,throughput_events_per_cycle,delivered_during_injection,average_latency,maximum_latency,p50_latency,p95_latency,p99_latency,link_active_cycles,link_stall_cycles,link_utilization,cycles_dense_eligible,average_dense_occupancy,minimum_dense_occupancy,maximum_dense_occupancy,dense_occ_0,dense_occ_1,dense_occ_2,dense_occ_3,dense_occ_4,dense_occ_5,dense_occ_6,dense_occ_7,dense_occ_8,dense_occ_9,dense_occ_10,dense_occ_11,dense_occ_12,dense_occ_13,dense_occ_14,dense_occ_15,dense_occ_16,baseline_payload_bits,adaptive_sparse_payload_bits,dense_payload_bits,baseline_frame_bits,adaptive_sparse_frame_bits,dense_frame_bits,baseline_physical_bits_per_packet,adaptive_sparse_physical_bits_per_packet,dense_physical_bits_per_packet,notes,result_file
adaptive_link,hotspot,stage4_4x4_p80_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.19660000,983,981,2,0,0,2,0.00203459,981,981,0,981,0,17658,1962,31392,18.000000,32.000000,0.50000000,0.0312500000,0.19620000,981,4.339450,10,4,6,7,1962,0,0.39240000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=981;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=983;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_hotspot_rate0p20_adaptive_l16_t5_always.csv
adaptive_link,hotspot,stage4_4x4_p80_rate0.40,/home/yewon/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.40_rate0p400_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.40600000,2030,1972,58,0,0,58,0.02857143,1972,1972,0,1972,0,35496,3944,63104,18.000000,32.000000,0.50000000,0.0312500000,0.39400599,1970,5.532961,30,5,10,17,3944,0,0.78801199,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=1972;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=2030;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_hotspot_rate0p40_adaptive_l16_t5_always.csv
adaptive_link,hotspot,stage4_4x4_p80_rate0.80,/home/yewon/SCA_AER/traces/generated/stage2/hotspot_stage4_4x4_p80_rate0.80_rate0p800_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5012,0.79800000,3990,2639,1351,0,0,1351,0.33859649,2384,2143,241,2143,496,49419,5009,80144,18.726412,30.369079,0.52685167,0.0329282292,0.52653631,2633,19.118227,181,13,54,85,5009,0,0.99940144,67,2.058091,1,6,0,100,63,54,13,10,1,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=2639;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=3990;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_hotspot_rate0p80_adaptive_l16_t5_always.csv
adaptive_link,burst,stage4_burst_rate2.0_dur500,/home/yewon/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate2.0_dur500_rate0p010_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.20640000,1032,874,158,0,0,158,0.15310078,217,42,175,42,832,8631,609,9744,9.875286,11.148741,1.43513957,0.0896962233,0.17480000,874,29.405034,64,30,51,52,609,0,0.12180000,484,4.754286,1,11,0,6,16,21,43,27,30,22,6,1,0,3,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=874;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=1032;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_burst_rate2.0_dur500_adaptive_l16_t5_always.csv
adaptive_link,burst,stage4_burst_rate4.0_dur200,/home/yewon/SCA_AER/traces/generated/stage2/burst_stage4_burst_rate4.0_dur200_rate0p010_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.16780000,839,606,233,0,0,233,0.27771156,123,48,75,48,558,4239,321,5136,6.995050,8.475248,1.88785047,0.1179906542,0.12120000,606,29.628713,59,31,51,52,321,0,0.06420000,218,7.440000,1,12,0,1,1,3,2,6,10,15,16,6,8,3,4,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=606;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=839;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_burst_rate4.0_dur200_adaptive_l16_t5_always.csv
adaptive_link,simultaneous,stage4_count16,/home/yewon/SCA_AER/traces/generated/stage2/simultaneous_stage4_count16_rate0p003_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.00320000,16,16,0,0,0,0,0.00000000,16,16,0,16,0,288,32,512,18.000000,32.000000,0.50000000,0.0312500000,0.00320000,16,19.000000,34,18,34,34,32,0,0.00640000,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=16;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=16;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_simultaneous_count16_adaptive_l16_t5_always.csv
adaptive_link,simultaneous,stage4_count64,/home/yewon/SCA_AER/traces/generated/stage2/simultaneous_stage4_count64_rate0p013_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5000,0.01280000,64,64,0,0,0,0,0.00000000,16,0,16,0,64,720,48,768,11.250000,12.000000,1.33333333,0.0833333333,0.01280000,64,29.609375,50,32,50,50,48,0,0.00960000,46,4.000000,1,8,0,2,3,0,5,2,3,0,1,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=64;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=64;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_simultaneous_count64_adaptive_l16_t5_always.csv
adaptive_link,locality,stage4_region16x16_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/locality_stage4_region16x16_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,988,0,0,0,0,0.00000000,988,988,0,988,0,17784,1976,31616,18.000000,32.000000,0.50000000,0.0312500000,0.19740260,986,4.297571,9,4,5,7,1976,0,0.39480519,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=988;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_locality_region16x16_adaptive_l16_t5_always.csv
adaptive_link,locality,stage4_region8x8_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/locality_stage4_region8x8_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,987,1,0,0,1,0.00101215,987,987,0,987,0,17766,1974,31584,18.000000,32.000000,0.50000000,0.0312500000,0.19720280,985,4.295846,10,4,5,7,1974,0,0.39440559,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=987;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_locality_region8x8_adaptive_l16_t5_always.csv
adaptive_link,locality,stage4_region4x4_rate0.20,/home/yewon/SCA_AER/traces/generated/stage2/locality_stage4_region4x4_rate0.20_rate0p200_seed1_ack0.trace,1,16,16,4,4,5,16,always,5000,5005,0.19760000,988,983,5,0,0,5,0.00506073,983,983,0,983,0,17694,1966,31456,18.000000,32.000000,0.50000000,0.0312500000,0.19640360,981,4.282808,9,4,5,7,1966,0,0.39280719,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,37,17,18,45,32,32,48,captured_events=983;logical_model_errors=0;unexpected_output=0;duplicate_output=0;trace_events=988;stall_period=5;stall_cycles=1;random_stall_percent=20,results/csv/runs/stage4_model2/stage4_locality_region4x4_adaptive_l16_t5_always.csv
